ar;antalEFT;antalPEN;antalTILL;antalEFTprognos;antalTILLprognos;antalPENprognos;conceptidprognosyrke
2017;1,20;1,62;1,03;;;;bjND_x23_rzC
2018;1,23;1,96;1,04;;;1,96;bjND_x23_rzC
2019;1,25;;1,04;1,25;1,04;1,11;bjND_x23_rzC
2020;;;;;1,08;1,00;bjND_x23_rzC
2021;;;;;1,12;0,95;bjND_x23_rzC
2022;;;;1,29;1,15;0,91;bjND_x23_rzC
2023;;;;;1,19;0,90;bjND_x23_rzC
2024;;;;;1,22;0,89;bjND_x23_rzC
2025;;;;;1,25;0,90;bjND_x23_rzC
2026;;;;1,29;1,28;0,92;bjND_x23_rzC
2015;1,00;1,00;1,00;;;;bkuh_HWC_muF
2016;1,09;1,17;1,03;;;;bkuh_HWC_muF
2017;1,08;1,01;1,05;;;;bkuh_HWC_muF
2018;1,17;1,50;1,07;;;1,50;bkuh_HWC_muF
2019;1,25;;1,08;1,25;1,08;0,84;bkuh_HWC_muF
2020;;;;;1,12;0,90;bkuh_HWC_muF
2021;;;;;1,15;0,93;bkuh_HWC_muF
2022;;;;1,32;1,18;0,96;bkuh_HWC_muF
2023;;;;;1,21;1,00;bkuh_HWC_muF
2024;;;;;1,24;1,02;bkuh_HWC_muF
2025;;;;;1,26;1,05;bkuh_HWC_muF
2026;;;;1,47;1,28;1,07;bkuh_HWC_muF
2015;1,00;1,00;1,00;;;;cRLD_LWf_a8p
2016;1,16;1,14;1,07;;;;cRLD_LWf_a8p
2017;1,19;1,26;1,12;;;;cRLD_LWf_a8p
2018;1,21;1,49;1,20;;;1,49;cRLD_LWf_a8p
2019;1,23;;1,24;1,23;1,24;0,96;cRLD_LWf_a8p
2020;;;;;1,29;1,00;cRLD_LWf_a8p
2021;;;;;1,33;1,03;cRLD_LWf_a8p
2022;;;;1,26;1,36;1,01;cRLD_LWf_a8p
2023;;;;;1,39;1,00;cRLD_LWf_a8p
2024;;;;;1,42;0,98;cRLD_LWf_a8p
2025;;;;;1,44;0,95;cRLD_LWf_a8p
2026;;;;1,29;1,46;0,93;cRLD_LWf_a8p
2015;1,00;1,00;1,00;;;;cRyt_LHy_gMw
2016;1,11;1,33;1,04;;;;cRyt_LHy_gMw
2017;1,20;1,39;1,07;;;;cRyt_LHy_gMw
2018;1,31;1,72;1,10;;;1,72;cRyt_LHy_gMw
2019;1,18;;1,10;1,18;1,10;0,97;cRyt_LHy_gMw
2020;;;;;1,13;0,97;cRyt_LHy_gMw
2021;;;;;1,16;0,99;cRyt_LHy_gMw
2022;;;;1,21;1,19;1,01;cRyt_LHy_gMw
2023;;;;;1,21;1,04;cRyt_LHy_gMw
2024;;;;;1,23;1,09;cRyt_LHy_gMw
2025;;;;;1,25;1,14;cRyt_LHy_gMw
2026;;;;1,26;1,27;1,19;cRyt_LHy_gMw
2015;1,00;1,00;1,00;;;;cZwL_Sq9_MMj
2016;1,11;1,16;1,01;;;;cZwL_Sq9_MMj
2017;1,16;0,98;1,01;;;;cZwL_Sq9_MMj
2018;1,23;1,22;1,01;;;1,22;cZwL_Sq9_MMj
2019;1,24;;1,00;1,24;1,00;0,80;cZwL_Sq9_MMj
2020;;;;;1,00;0,86;cZwL_Sq9_MMj
2021;;;;;1,01;0,90;cZwL_Sq9_MMj
2022;;;;1,28;1,01;0,94;cZwL_Sq9_MMj
2023;;;;;1,02;0,96;cZwL_Sq9_MMj
2024;;;;;1,03;0,98;cZwL_Sq9_MMj
2025;;;;;1,03;0,99;cZwL_Sq9_MMj
2026;;;;1,33;1,04;1,00;cZwL_Sq9_MMj
2015;1,00;1,00;1,00;;;;d1K1_zCE_AjM
2016;1,23;1,31;1,02;;;;d1K1_zCE_AjM
2017;1,19;1,18;1,04;;;;d1K1_zCE_AjM
2018;1,26;1,39;1,06;;;1,39;d1K1_zCE_AjM
2019;1,20;;1,05;1,20;1,05;0,86;d1K1_zCE_AjM
2020;;;;;1,04;0,83;d1K1_zCE_AjM
2021;;;;;1,04;0,80;d1K1_zCE_AjM
2022;;;;1,27;1,04;0,79;d1K1_zCE_AjM
2023;;;;;1,03;0,80;d1K1_zCE_AjM
2024;;;;;1,03;0,82;d1K1_zCE_AjM
2025;;;;;1,03;0,85;d1K1_zCE_AjM
2026;;;;1,38;1,03;0,90;d1K1_zCE_AjM
2015;1,00;1,00;1,00;;;;d7uQ_TrS_RwF
2016;1,35;1,26;1,03;;;;d7uQ_TrS_RwF
2017;1,48;1,29;1,07;;;;d7uQ_TrS_RwF
2018;1,53;1,64;1,11;;;1,64;d7uQ_TrS_RwF
2019;1,50;;1,10;1,50;1,10;1,07;d7uQ_TrS_RwF
2020;;;;;1,12;1,00;d7uQ_TrS_RwF
2021;;;;;1,13;0,97;d7uQ_TrS_RwF
2022;;;;1,59;1,14;0,97;d7uQ_TrS_RwF
2023;;;;;1,15;0,98;d7uQ_TrS_RwF
2024;;;;;1,16;1,01;d7uQ_TrS_RwF
2025;;;;;1,17;1,05;d7uQ_TrS_RwF
2026;;;;1,72;1,18;1,07;d7uQ_TrS_RwF
2015;1,00;1,00;1,00;;;;dPDC_KMd_dHY
2016;1,23;1,29;1,03;;;;dPDC_KMd_dHY
2017;1,38;1,42;1,06;;;;dPDC_KMd_dHY
2018;2,14;2,96;1,09;;;2,96;dPDC_KMd_dHY
2019;2,18;;1,10;2,18;1,10;2,30;dPDC_KMd_dHY
2020;;;;;1,12;2,32;dPDC_KMd_dHY
2021;;;;;1,14;2,32;dPDC_KMd_dHY
2022;;;;2,24;1,16;2,36;dPDC_KMd_dHY
2023;;;;;1,18;2,40;dPDC_KMd_dHY
2024;;;;;1,19;2,47;dPDC_KMd_dHY
2025;;;;;1,21;2,59;dPDC_KMd_dHY
2026;;;;2,33;1,22;2,74;dPDC_KMd_dHY
2015;1,00;1,00;1,00;;;;djSF_fAH_AbG
2016;1,21;1,17;1,03;;;;djSF_fAH_AbG
2017;1,27;1,17;1,05;;;;djSF_fAH_AbG
2018;1,28;1,31;1,04;;;1,31;djSF_fAH_AbG
2019;1,27;;1,01;1,27;1,01;0,87;djSF_fAH_AbG
2020;;;;;1,04;0,91;djSF_fAH_AbG
2021;;;;;1,07;0,93;djSF_fAH_AbG
2022;;;;1,13;1,10;0,95;djSF_fAH_AbG
2023;;;;;1,13;0,98;djSF_fAH_AbG
2024;;;;;1,16;1,02;djSF_fAH_AbG
2025;;;;;1,19;1,04;djSF_fAH_AbG
2026;;;;1,29;1,22;1,07;djSF_fAH_AbG
2015;1,00;1,00;1,00;;;;eAjC_B3N_Jzs
2016;1,37;1,33;1,01;;;;eAjC_B3N_Jzs
2017;1,49;1,44;1,02;;;;eAjC_B3N_Jzs
2018;1,58;2,09;1,03;;;2,09;eAjC_B3N_Jzs
2019;1,40;;1,02;1,40;1,02;1,14;eAjC_B3N_Jzs
2020;;;;;1,03;1,20;eAjC_B3N_Jzs
2021;;;;;1,05;1,25;eAjC_B3N_Jzs
2022;;;;1,49;1,06;1,28;eAjC_B3N_Jzs
2023;;;;;1,07;1,30;eAjC_B3N_Jzs
2024;;;;;1,08;1,33;eAjC_B3N_Jzs
2025;;;;;1,09;1,38;eAjC_B3N_Jzs
2026;;;;1,65;1,10;1,46;eAjC_B3N_Jzs
2015;1,00;1,00;1,00;;;;eTpr_5k1_5qh
2016;1,23;1,49;1,02;;;;eTpr_5k1_5qh
2017;1,25;1,44;1,03;;;;eTpr_5k1_5qh
2018;1,30;1,86;1,04;;;1,86;eTpr_5k1_5qh
2019;1,29;;1,02;1,29;1,02;1,23;eTpr_5k1_5qh
2020;;;;;1,03;1,24;eTpr_5k1_5qh
2021;;;;;1,03;1,27;eTpr_5k1_5qh
2022;;;;1,35;1,04;1,26;eTpr_5k1_5qh
2023;;;;;1,05;1,27;eTpr_5k1_5qh
2024;;;;;1,06;1,28;eTpr_5k1_5qh
2025;;;;;1,07;1,28;eTpr_5k1_5qh
2026;;;;1,49;1,08;1,29;eTpr_5k1_5qh
2015;1,00;1,00;1,00;;;;eaBA_Vde_s7Z
2016;1,38;1,22;1,05;;;;eaBA_Vde_s7Z
2017;1,55;1,35;1,11;;;;eaBA_Vde_s7Z
2018;1,64;1,54;1,16;;;1,54;eaBA_Vde_s7Z
2019;1,60;;1,16;1,60;1,16;0,97;eaBA_Vde_s7Z
2020;;;;;1,18;0,84;eaBA_Vde_s7Z
2021;;;;;1,20;0,76;eaBA_Vde_s7Z
2022;;;;1,70;1,22;0,71;eaBA_Vde_s7Z
2023;;;;;1,23;0,68;eaBA_Vde_s7Z
2024;;;;;1,25;0,65;eaBA_Vde_s7Z
2025;;;;;1,26;0,64;eaBA_Vde_s7Z
2026;;;;1,89;1,27;0,64;eaBA_Vde_s7Z
2015;1,00;1,00;1,00;;;;exqA_K5u_rye
2016;1,25;2,00;1,03;;;;exqA_K5u_rye
2017;1,81;2,15;1,04;;;;exqA_K5u_rye
2018;1,98;2,46;1,02;;;2,46;exqA_K5u_rye
2019;1,99;;0,95;1,99;0,95;1,76;exqA_K5u_rye
2020;;;;;0,98;1,84;exqA_K5u_rye
2021;;;;;1,01;1,97;exqA_K5u_rye
2022;;;;1,60;1,04;2,03;exqA_K5u_rye
2023;;;;;1,08;2,12;exqA_K5u_rye
2024;;;;;1,11;2,28;exqA_K5u_rye
2025;;;;;1,14;2,38;exqA_K5u_rye
2026;;;;2,07;1,17;2,64;exqA_K5u_rye
2015;1,00;1,00;1,00;;;;fS27_kmb_pr6
2016;0,87;0,70;1,02;;;;fS27_kmb_pr6
2017;0,72;0,42;1,03;;;;fS27_kmb_pr6
2018;0,69;0,38;1,04;;;0,38;fS27_kmb_pr6
2019;0,69;;1,02;0,69;1,02;0,13;fS27_kmb_pr6
2020;;;;;1,03;0,11;fS27_kmb_pr6
2021;;;;;1,03;0,10;fS27_kmb_pr6
2022;;;;0,71;1,04;0,08;fS27_kmb_pr6
2023;;;;;1,05;0,07;fS27_kmb_pr6
2024;;;;;1,05;0,07;fS27_kmb_pr6
2025;;;;;1,06;0,06;fS27_kmb_pr6
2026;;;;0,72;1,07;0,05;fS27_kmb_pr6
2015;1,00;1,00;1,00;;;;fZx2_Dqz_k2f
2016;1,13;1,57;1,01;;;;fZx2_Dqz_k2f
2017;1,05;1,41;1,02;;;;fZx2_Dqz_k2f
2018;1,04;1,74;1,02;;;1,74;fZx2_Dqz_k2f
2019;1,04;;1,00;1,04;1,00;0,96;fZx2_Dqz_k2f
2020;;;;;1,01;0,98;fZx2_Dqz_k2f
2021;;;;;1,01;1,03;fZx2_Dqz_k2f
2022;;;;1,07;1,01;1,06;fZx2_Dqz_k2f
2023;;;;;1,02;1,09;fZx2_Dqz_k2f
2024;;;;;1,02;1,15;fZx2_Dqz_k2f
2025;;;;;1,03;1,21;fZx2_Dqz_k2f
2026;;;;1,05;1,03;1,25;fZx2_Dqz_k2f
2015;1,00;1,00;1,00;;;;gP29_uNp_2Ti
2016;1,22;1,10;1,04;;;;gP29_uNp_2Ti
2017;1,18;0,90;1,06;;;;gP29_uNp_2Ti
2018;1,19;1,20;1,08;;;1,20;gP29_uNp_2Ti
2019;1,13;;1,08;1,13;1,08;0,69;gP29_uNp_2Ti
2020;;;;;1,12;0,64;gP29_uNp_2Ti
2021;;;;;1,15;0,60;gP29_uNp_2Ti
2022;;;;1,07;1,19;0,59;gP29_uNp_2Ti
2023;;;;;1,22;0,58;gP29_uNp_2Ti
2024;;;;;1,24;0,57;gP29_uNp_2Ti
2025;;;;;1,27;0,58;gP29_uNp_2Ti
2026;;;;1,14;1,29;0,59;gP29_uNp_2Ti
2015;1,00;1,00;1,00;;;;gPin_ujX_4xi
2016;1,27;1,15;1,02;;;;gPin_ujX_4xi
2017;1,40;1,15;1,05;;;;gPin_ujX_4xi
2018;1,61;1,40;1,07;;;1,40;gPin_ujX_4xi
2019;1,63;;1,05;1,63;1,05;0,83;gPin_ujX_4xi
2020;;;;;1,07;0,76;gPin_ujX_4xi
2021;;;;;1,08;0,72;gPin_ujX_4xi
2022;;;;1,73;1,10;0,71;gPin_ujX_4xi
2023;;;;;1,11;0,71;gPin_ujX_4xi
2024;;;;;1,12;0,72;gPin_ujX_4xi
2025;;;;;1,13;0,73;gPin_ujX_4xi
2026;;;;1,87;1,14;0,76;gPin_ujX_4xi
2015;1,00;1,00;1,00;;;;giy5_tF8_pHU
2016;1,24;1,54;1,02;;;;giy5_tF8_pHU
2017;1,22;1,76;1,03;;;;giy5_tF8_pHU
2018;1,20;1,91;1,04;;;1,91;giy5_tF8_pHU
2019;1,18;;1,01;1,18;1,01;1,02;giy5_tF8_pHU
2020;;;;;1,02;0,99;giy5_tF8_pHU
2021;;;;;1,03;0,98;giy5_tF8_pHU
2022;;;;1,21;1,04;0,96;giy5_tF8_pHU
2023;;;;;1,05;0,94;giy5_tF8_pHU
2024;;;;;1,06;0,93;giy5_tF8_pHU
2025;;;;;1,07;0,93;giy5_tF8_pHU
2026;;;;1,24;1,08;0,94;giy5_tF8_pHU
2015;1,00;1,00;1,00;;;;j9YZ_Qej_Q2s
2016;1,14;1,22;1,03;;;;j9YZ_Qej_Q2s
2017;1,17;1,44;1,04;;;;j9YZ_Qej_Q2s
2018;1,20;1,56;1,07;;;1,56;j9YZ_Qej_Q2s
2019;1,15;;1,07;1,15;1,07;0,82;j9YZ_Qej_Q2s
2020;;;;;1,10;0,84;j9YZ_Qej_Q2s
2021;;;;;1,13;0,88;j9YZ_Qej_Q2s
2022;;;;1,19;1,15;0,90;j9YZ_Qej_Q2s
2023;;;;;1,18;0,92;j9YZ_Qej_Q2s
2024;;;;;1,20;0,95;j9YZ_Qej_Q2s
2025;;;;;1,22;0,96;j9YZ_Qej_Q2s
2026;;;;1,19;1,24;0,99;j9YZ_Qej_Q2s
2015;1,00;1,00;1,00;;;;jSSk_UqT_bgo
2016;1,20;1,22;1,03;;;;jSSk_UqT_bgo
2017;1,25;1,27;1,05;;;;jSSk_UqT_bgo
2018;1,13;1,39;1,08;;;1,39;jSSk_UqT_bgo
2019;1,12;;1,08;1,12;1,08;0,74;jSSk_UqT_bgo
2020;;;;;1,10;0,72;jSSk_UqT_bgo
2021;;;;;1,12;0,70;jSSk_UqT_bgo
2022;;;;1,15;1,14;0,69;jSSk_UqT_bgo
2023;;;;;1,15;0,69;jSSk_UqT_bgo
2024;;;;;1,17;0,69;jSSk_UqT_bgo
2025;;;;;1,18;0,69;jSSk_UqT_bgo
2026;;;;1,20;1,20;0,70;jSSk_UqT_bgo
2015;1,00;1,00;1,00;;;;k5RJ_tbC_cys
2016;2,14;1,50;1,02;;;;k5RJ_tbC_cys
2017;1,72;1,23;1,04;;;;k5RJ_tbC_cys
2018;1,18;1,46;1,05;;;1,46;k5RJ_tbC_cys
2019;2,06;;1,03;2,06;1,03;1,14;k5RJ_tbC_cys
2020;;;;;1,02;1,18;k5RJ_tbC_cys
2021;;;;;1,02;1,16;k5RJ_tbC_cys
2022;;;;2,19;1,01;1,18;k5RJ_tbC_cys
2023;;;;;1,01;1,20;k5RJ_tbC_cys
2024;;;;;1,00;1,26;k5RJ_tbC_cys
2025;;;;;1,00;1,28;k5RJ_tbC_cys
2026;;;;2,37;1,00;1,31;k5RJ_tbC_cys
2015;1,00;1,00;1,00;;;;kWbW_FCC_uoj
2016;1,18;1,36;1,06;;;;kWbW_FCC_uoj
2017;1,22;1,49;1,10;;;;kWbW_FCC_uoj
2018;1,26;1,53;1,14;;;1,53;kWbW_FCC_uoj
2019;1,29;;1,16;1,29;1,16;0,95;kWbW_FCC_uoj
2020;;;;;1,21;0,82;kWbW_FCC_uoj
2021;;;;;1,25;0,73;kWbW_FCC_uoj
2022;;;;1,33;1,29;0,67;kWbW_FCC_uoj
2023;;;;;1,32;0,63;kWbW_FCC_uoj
2024;;;;;1,34;0,59;kWbW_FCC_uoj
2025;;;;;1,37;0,56;kWbW_FCC_uoj
2026;;;;1,37;1,39;0,55;kWbW_FCC_uoj
2015;1,00;1,00;1,00;;;;kbGN_43R_ZsX
2016;1,07;1,06;1,01;;;;kbGN_43R_ZsX
2017;1,12;1,22;1,01;;;;kbGN_43R_ZsX
2018;1,15;1,62;1,03;;;1,62;kbGN_43R_ZsX
2019;1,12;;1,01;1,12;1,01;0,93;kbGN_43R_ZsX
2020;;;;;1,01;0,90;kbGN_43R_ZsX
2021;;;;;1,01;0,90;kbGN_43R_ZsX
2022;;;;1,14;1,01;0,89;kbGN_43R_ZsX
2023;;;;;1,01;0,88;kbGN_43R_ZsX
2024;;;;;1,01;0,90;kbGN_43R_ZsX
2025;;;;;1,02;0,92;kbGN_43R_ZsX
2026;;;;1,13;1,02;0,93;kbGN_43R_ZsX
2015;1,00;1,00;1,00;;;;kgMM_4k1_N4v
2016;1,21;1,23;1,02;;;;kgMM_4k1_N4v
2017;1,24;1,26;1,02;;;;kgMM_4k1_N4v
2018;1,25;1,48;1,03;;;1,48;kgMM_4k1_N4v
2019;1,24;;1,01;1,24;1,01;0,95;kgMM_4k1_N4v
2020;;;;;1,03;0,93;kgMM_4k1_N4v
2021;;;;;1,05;0,91;kgMM_4k1_N4v
2022;;;;1,28;1,07;0,90;kgMM_4k1_N4v
2023;;;;;1,09;0,89;kgMM_4k1_N4v
2024;;;;;1,11;0,89;kgMM_4k1_N4v
2025;;;;;1,12;0,89;kgMM_4k1_N4v
2026;;;;1,33;1,14;0,91;kgMM_4k1_N4v
2015;1,00;1,00;1,00;;;;mqze_D9J_Sgx
2016;1,11;1,49;1,02;;;;mqze_D9J_Sgx
2017;1,11;1,57;1,03;;;;mqze_D9J_Sgx
2018;1,22;1,89;1,04;;;1,89;mqze_D9J_Sgx
2019;1,23;;1,02;1,23;1,02;1,33;mqze_D9J_Sgx
2020;;;;;1,04;1,22;mqze_D9J_Sgx
2021;;;;;1,06;1,16;mqze_D9J_Sgx
2022;;;;1,26;1,07;1,12;mqze_D9J_Sgx
2023;;;;;1,09;1,09;mqze_D9J_Sgx
2024;;;;;1,10;1,06;mqze_D9J_Sgx
2025;;;;;1,12;1,05;mqze_D9J_Sgx
2026;;;;1,30;1,13;1,04;mqze_D9J_Sgx
2015;1,00;1,00;1,00;;;;mtjb_D8y_apQ
2016;1,08;1,05;1,03;;;;mtjb_D8y_apQ
2017;1,11;1,04;1,05;;;;mtjb_D8y_apQ
2018;1,12;0,98;1,04;;;0,98;mtjb_D8y_apQ
2019;1,08;;0,98;1,08;0,98;0,78;mtjb_D8y_apQ
2020;;;;;1,02;0,77;mtjb_D8y_apQ
2021;;;;;1,05;0,77;mtjb_D8y_apQ
2022;;;;1,10;1,08;0,76;mtjb_D8y_apQ
2023;;;;;1,12;0,75;mtjb_D8y_apQ
2024;;;;;1,15;0,73;mtjb_D8y_apQ
2025;;;;;1,19;0,69;mtjb_D8y_apQ
2026;;;;1,12;1,22;0,66;mtjb_D8y_apQ
2015;1,00;1,00;1,00;;;;n9fP_Evc_oJ7
2016;1,11;1,19;1,03;;;;n9fP_Evc_oJ7
2017;1,13;1,24;1,06;;;;n9fP_Evc_oJ7
2018;1,16;1,54;1,08;;;1,54;n9fP_Evc_oJ7
2019;1,20;;1,08;1,20;1,08;0,94;n9fP_Evc_oJ7
2020;;;;;1,13;0,89;n9fP_Evc_oJ7
2021;;;;;1,17;0,87;n9fP_Evc_oJ7
2022;;;;1,23;1,21;0,85;n9fP_Evc_oJ7
2023;;;;;1,25;0,84;n9fP_Evc_oJ7
2024;;;;;1,28;0,84;n9fP_Evc_oJ7
2025;;;;;1,31;0,85;n9fP_Evc_oJ7
2026;;;;1,28;1,34;0,87;n9fP_Evc_oJ7
2015;1,00;1,00;1,00;;;;nF3a_Y5a_3KB
2016;1,14;0,94;1,01;;;;nF3a_Y5a_3KB
2017;1,14;1,07;1,02;;;;nF3a_Y5a_3KB
2018;1,14;1,23;1,03;;;1,23;nF3a_Y5a_3KB
2019;1,14;;1,01;1,14;1,01;0,88;nF3a_Y5a_3KB
2020;;;;;1,02;0,98;nF3a_Y5a_3KB
2021;;;;;1,04;1,05;nF3a_Y5a_3KB
2022;;;;1,26;1,05;1,12;nF3a_Y5a_3KB
2023;;;;;1,06;1,16;nF3a_Y5a_3KB
2024;;;;;1,07;1,20;nF3a_Y5a_3KB
2025;;;;;1,08;1,25;nF3a_Y5a_3KB
2026;;;;1,47;1,09;1,32;nF3a_Y5a_3KB
2015;1,00;1,00;1,00;;;;nP7s_KaH_E5d
2016;1,14;1,59;1,03;;;;nP7s_KaH_E5d
2017;1,13;1,65;1,06;;;;nP7s_KaH_E5d
2018;0,96;1,73;1,09;;;1,73;nP7s_KaH_E5d
2019;0,93;;1,11;0,93;1,11;1,19;nP7s_KaH_E5d
2020;;;;;1,14;0,95;nP7s_KaH_E5d
2021;;;;;1,17;0,79;nP7s_KaH_E5d
2022;;;;0,96;1,20;0,69;nP7s_KaH_E5d
2023;;;;;1,23;0,62;nP7s_KaH_E5d
2024;;;;;1,25;0,58;nP7s_KaH_E5d
2025;;;;;1,28;0,55;nP7s_KaH_E5d
2026;;;;0,98;1,30;0,52;nP7s_KaH_E5d
2015;1,00;1,00;1,00;;;;nZ7W_7ei_GBK
2016;1,61;1,87;1,01;;;;nZ7W_7ei_GBK
2017;1,81;2,58;1,02;;;;nZ7W_7ei_GBK
2018;1,92;3,05;1,03;;;3,05;nZ7W_7ei_GBK
2019;1,53;;1,02;1,53;1,02;1,57;nZ7W_7ei_GBK
2020;;;;;1,04;1,66;nZ7W_7ei_GBK
2021;;;;;1,06;1,68;nZ7W_7ei_GBK
2022;;;;1,62;1,07;1,71;nZ7W_7ei_GBK
2023;;;;;1,09;1,82;nZ7W_7ei_GBK
2024;;;;;1,11;1,85;nZ7W_7ei_GBK
2025;;;;;1,12;1,91;nZ7W_7ei_GBK
2026;;;;1,80;1,13;1,99;nZ7W_7ei_GBK
2015;1,00;1,00;1,00;;;;nZX5_jkR_eXd
2016;1,22;1,11;1,02;;;;nZX5_jkR_eXd
2017;1,43;0,94;1,05;;;;nZX5_jkR_eXd
2018;1,36;0,92;1,07;;;0,92;nZX5_jkR_eXd
2019;1,32;;1,07;1,32;1,07;0,67;nZX5_jkR_eXd
2020;;;;;1,08;0,60;nZX5_jkR_eXd
2021;;;;;1,09;0,57;nZX5_jkR_eXd
2022;;;;1,24;1,10;0,53;nZX5_jkR_eXd
2023;;;;;1,11;0,52;nZX5_jkR_eXd
2024;;;;;1,12;0,52;nZX5_jkR_eXd
2025;;;;;1,12;0,52;nZX5_jkR_eXd
2026;;;;1,33;1,13;0,51;nZX5_jkR_eXd
2015;1,00;1,00;1,00;;;;nbdN_Gmi_gyZ
2016;1,11;1,22;1,02;;;;nbdN_Gmi_gyZ
2017;1,10;0,85;1,04;;;;nbdN_Gmi_gyZ
2018;1,08;1,23;1,05;;;1,23;nbdN_Gmi_gyZ
2019;0,99;;1,02;0,99;1,02;0,71;nbdN_Gmi_gyZ
2020;;;;;1,03;0,78;nbdN_Gmi_gyZ
2021;;;;;1,04;0,81;nbdN_Gmi_gyZ
2022;;;;1,01;1,04;0,84;nbdN_Gmi_gyZ
2023;;;;;1,05;0,90;nbdN_Gmi_gyZ
2024;;;;;1,06;0,93;nbdN_Gmi_gyZ
2025;;;;;1,07;0,95;nbdN_Gmi_gyZ
2026;;;;0,99;1,08;0,98;nbdN_Gmi_gyZ
2015;1,00;1,00;1,00;;;;ntvE_WCR_9bm
2016;1,16;1,25;1,03;;;;ntvE_WCR_9bm
2017;1,13;1,35;1,04;;;;ntvE_WCR_9bm
2018;1,16;1,59;1,06;;;1,59;ntvE_WCR_9bm
2019;1,20;;1,05;1,20;1,05;1,08;ntvE_WCR_9bm
2020;;;;;1,06;0,96;ntvE_WCR_9bm
2021;;;;;1,07;0,90;ntvE_WCR_9bm
2022;;;;1,14;1,08;0,85;ntvE_WCR_9bm
2023;;;;;1,09;0,82;ntvE_WCR_9bm
2024;;;;;1,10;0,81;ntvE_WCR_9bm
2025;;;;;1,11;0,81;ntvE_WCR_9bm
2026;;;;1,22;1,11;0,81;ntvE_WCR_9bm
2015;1,00;1,00;1,00;;;;oBNT_dDT_Wbu
2016;1,17;0,79;1,02;;;;oBNT_dDT_Wbu
2017;1,50;1,33;1,05;;;;oBNT_dDT_Wbu
2018;1,52;1,71;1,09;;;1,71;oBNT_dDT_Wbu
2019;1,75;;1,10;1,75;1,10;1,26;oBNT_dDT_Wbu
2020;;;;;1,13;1,38;oBNT_dDT_Wbu
2021;;;;;1,15;1,52;oBNT_dDT_Wbu
2022;;;;1,95;1,18;1,63;oBNT_dDT_Wbu
2023;;;;;1,20;1,74;oBNT_dDT_Wbu
2024;;;;;1,22;1,92;oBNT_dDT_Wbu
2025;;;;;1,24;2,06;oBNT_dDT_Wbu
2026;;;;2,31;1,26;2,26;oBNT_dDT_Wbu
2015;1,00;1,00;1,00;;;;oKxc_Uj4_Gre
2016;1,16;1,06;1,05;;;;oKxc_Uj4_Gre
2017;1,22;1,12;1,08;;;;oKxc_Uj4_Gre
2018;1,28;1,32;1,12;;;1,32;oKxc_Uj4_Gre
2019;1,27;;1,13;1,27;1,13;0,76;oKxc_Uj4_Gre
2020;;;;;1,17;0,65;oKxc_Uj4_Gre
2021;;;;;1,20;0,59;oKxc_Uj4_Gre
2022;;;;1,31;1,24;0,57;oKxc_Uj4_Gre
2023;;;;;1,27;0,57;oKxc_Uj4_Gre
2024;;;;;1,29;0,57;oKxc_Uj4_Gre
2025;;;;;1,32;0,59;oKxc_Uj4_Gre
2026;;;;1,36;1,34;0,60;oKxc_Uj4_Gre
2015;1,00;1,00;1,00;;;;osFD_kCX_kEk
