ar;antalEFT;antalPEN;antalTILL;antalEFTprognos;antalTILLprognos;antalPENprognos;conceptidprognosyrke
2016;1,10;1,36;1,02;;;;osFD_kCX_kEk
2017;1,12;1,43;1,04;;;;osFD_kCX_kEk
2018;1,14;1,66;1,06;;;1,66;osFD_kCX_kEk
2019;1,18;;1,05;1,18;1,05;1,13;osFD_kCX_kEk
2020;;;;;1,07;1,02;osFD_kCX_kEk
2021;;;;;1,09;0,98;osFD_kCX_kEk
2022;;;;1,21;1,11;0,93;osFD_kCX_kEk
2023;;;;;1,13;0,90;osFD_kCX_kEk
2024;;;;;1,15;0,88;osFD_kCX_kEk
2025;;;;;1,17;0,89;osFD_kCX_kEk
2026;;;;1,26;1,18;0,89;osFD_kCX_kEk
2015;1,00;1,00;1,00;;;;pXhC_UUt_EZU
2016;1,20;1,58;1,01;;;;pXhC_UUt_EZU
2017;1,27;1,60;1,02;;;;pXhC_UUt_EZU
2018;1,36;2,25;1,04;;;2,25;pXhC_UUt_EZU
2019;1,36;;1,03;1,36;1,03;1,40;pXhC_UUt_EZU
2020;;;;;1,05;1,54;pXhC_UUt_EZU
2021;;;;;1,06;1,60;pXhC_UUt_EZU
2022;;;;1,69;1,08;1,68;pXhC_UUt_EZU
2023;;;;;1,09;1,75;pXhC_UUt_EZU
2024;;;;;1,10;1,82;pXhC_UUt_EZU
2025;;;;;1,11;1,89;pXhC_UUt_EZU
2026;;;;2,12;1,12;1,99;pXhC_UUt_EZU
2015;1,00;1,00;1,00;;;;q6Mk_Da2_axz
2016;1,24;1,47;1,02;;;;q6Mk_Da2_axz
2017;1,28;1,63;1,03;;;;q6Mk_Da2_axz
2018;1,37;2,03;1,03;;;2,03;q6Mk_Da2_axz
2019;1,41;;1,01;1,41;1,01;1,46;q6Mk_Da2_axz
2020;;;;;1,03;1,42;q6Mk_Da2_axz
2021;;;;;1,04;1,42;q6Mk_Da2_axz
2022;;;;1,44;1,06;1,41;q6Mk_Da2_axz
2023;;;;;1,07;1,42;q6Mk_Da2_axz
2024;;;;;1,09;1,43;q6Mk_Da2_axz
2025;;;;;1,10;1,44;q6Mk_Da2_axz
2026;;;;1,48;1,11;1,47;q6Mk_Da2_axz
2015;1,00;1,00;1,00;;;;qVCb_TS2_rDL
2016;1,11;1,24;1,01;;;;qVCb_TS2_rDL
2017;1,14;1,27;1,03;;;;qVCb_TS2_rDL
2018;1,15;1,64;1,04;;;1,64;qVCb_TS2_rDL
2019;1,13;;1,04;1,13;1,04;0,96;qVCb_TS2_rDL
2020;;;;;1,05;0,92;qVCb_TS2_rDL
2021;;;;;1,06;0,89;qVCb_TS2_rDL
2022;;;;1,20;1,07;0,87;qVCb_TS2_rDL
2023;;;;;1,08;0,86;qVCb_TS2_rDL
2024;;;;;1,09;0,85;qVCb_TS2_rDL
2025;;;;;1,10;0,84;qVCb_TS2_rDL
2026;;;;1,30;1,11;0,84;qVCb_TS2_rDL
2015;1,00;1,00;1,00;;;;qXXj_Rk4_KiU
2016;1,10;1,42;1,03;;;;qXXj_Rk4_KiU
2017;1,09;0,93;1,07;;;;qXXj_Rk4_KiU
2018;1,11;1,32;1,10;;;1,32;qXXj_Rk4_KiU
2019;1,19;;1,12;1,19;1,12;0,95;qXXj_Rk4_KiU
2020;;;;;1,15;0,98;qXXj_Rk4_KiU
2021;;;;;1,18;0,95;qXXj_Rk4_KiU
2022;;;;1,27;1,20;0,97;qXXj_Rk4_KiU
2023;;;;;1,22;0,97;qXXj_Rk4_KiU
2024;;;;;1,24;0,97;qXXj_Rk4_KiU
2025;;;;;1,26;1,00;qXXj_Rk4_KiU
2026;;;;1,42;1,28;1,01;qXXj_Rk4_KiU
2015;1,00;1,00;1,00;;;;qacF_6Ks_m8D
2016;1,18;1,16;1,02;;;;qacF_6Ks_m8D
2017;1,25;1,19;1,03;;;;qacF_6Ks_m8D
2018;1,26;1,57;1,04;;;1,57;qacF_6Ks_m8D
2019;1,26;;1,03;1,26;1,03;0,87;qacF_6Ks_m8D
2020;;;;;1,05;0,91;qacF_6Ks_m8D
2021;;;;;1,06;0,95;qacF_6Ks_m8D
2022;;;;1,24;1,07;0,98;qacF_6Ks_m8D
2023;;;;;1,09;1,02;qacF_6Ks_m8D
2024;;;;;1,10;1,06;qacF_6Ks_m8D
2025;;;;;1,11;1,09;qacF_6Ks_m8D
2026;;;;1,22;1,12;1,14;qacF_6Ks_m8D
2015;1,00;1,00;1,00;;;;qojQ_yuN_aNs
2016;1,19;1,66;1,03;;;;qojQ_yuN_aNs
2017;1,20;1,84;1,06;;;;qojQ_yuN_aNs
2018;1,14;1,93;1,10;;;1,93;qojQ_yuN_aNs
2019;1,06;;1,11;1,06;1,11;1,35;qojQ_yuN_aNs
2020;;;;;1,16;1,01;qojQ_yuN_aNs
2021;;;;;1,20;0,84;qojQ_yuN_aNs
2022;;;;1,08;1,24;0,74;qojQ_yuN_aNs
2023;;;;;1,28;0,68;qojQ_yuN_aNs
2024;;;;;1,31;0,65;qojQ_yuN_aNs
2025;;;;;1,35;0,62;qojQ_yuN_aNs
2026;;;;1,11;1,38;0,60;qojQ_yuN_aNs
2015;1,00;1,00;1,00;;;;rDZt_5vw_brk
2016;1,23;1,39;1,01;;;;rDZt_5vw_brk
2017;1,25;1,24;1,02;;;;rDZt_5vw_brk
2018;2,80;3,51;1,02;;;3,51;rDZt_5vw_brk
2019;2,66;;1,01;2,66;1,01;2,33;rDZt_5vw_brk
2020;;;;;1,01;2,50;rDZt_5vw_brk
2021;;;;;1,02;2,54;rDZt_5vw_brk
2022;;;;2,74;1,03;2,52;rDZt_5vw_brk
2023;;;;;1,04;2,54;rDZt_5vw_brk
2024;;;;;1,04;2,54;rDZt_5vw_brk
2025;;;;;1,05;2,53;rDZt_5vw_brk
2026;;;;2,85;1,06;2,53;rDZt_5vw_brk
2015;1,00;1,00;1,00;;;;rXQH_ojd_Pe1
2016;1,12;1,32;1,01;;;;rXQH_ojd_Pe1
2017;1,10;1,17;1,02;;;;rXQH_ojd_Pe1
2018;1,08;1,48;1,03;;;1,48;rXQH_ojd_Pe1
2019;1,06;;1,00;1,06;1,00;0,87;rXQH_ojd_Pe1
2020;;;;;1,01;0,89;rXQH_ojd_Pe1
2021;;;;;1,01;0,87;rXQH_ojd_Pe1
2022;;;;1,10;1,02;0,84;rXQH_ojd_Pe1
2023;;;;;1,03;0,81;rXQH_ojd_Pe1
2024;;;;;1,04;0,80;rXQH_ojd_Pe1
2025;;;;;1,04;0,78;rXQH_ojd_Pe1
2026;;;;1,19;1,05;0,76;rXQH_ojd_Pe1
2015;1,00;1,00;1,00;;;;rYY5_6Jz_mMT
2016;1,25;1,34;1,02;;;;rYY5_6Jz_mMT
2017;1,19;1,29;1,03;;;;rYY5_6Jz_mMT
2018;1,17;1,52;1,03;;;1,52;rYY5_6Jz_mMT
2019;1,17;;0,99;1,17;0,99;0,97;rYY5_6Jz_mMT
2020;;;;;1,00;0,94;rYY5_6Jz_mMT
2021;;;;;1,02;0,93;rYY5_6Jz_mMT
2022;;;;1,20;1,03;0,93;rYY5_6Jz_mMT
2023;;;;;1,04;0,93;rYY5_6Jz_mMT
2024;;;;;1,05;0,94;rYY5_6Jz_mMT
2025;;;;;1,07;0,94;rYY5_6Jz_mMT
2026;;;;1,25;1,08;0,95;rYY5_6Jz_mMT
2015;1,00;1,00;1,00;;;;rno7_MFk_voB
2016;1,23;1,21;1,01;;;;rno7_MFk_voB
2017;1,14;1,23;1,03;;;;rno7_MFk_voB
2018;1,13;1,69;1,05;;;1,69;rno7_MFk_voB
2019;1,13;;1,05;1,13;1,05;0,95;rno7_MFk_voB
2020;;;;;1,06;1,06;rno7_MFk_voB
2021;;;;;1,07;1,13;rno7_MFk_voB
2022;;;;1,26;1,09;1,24;rno7_MFk_voB
2023;;;;;1,10;1,30;rno7_MFk_voB
2024;;;;;1,11;1,39;rno7_MFk_voB
2025;;;;;1,12;1,50;rno7_MFk_voB
2026;;;;1,50;1,12;1,56;rno7_MFk_voB
2015;1,00;1,00;1,00;;;;sJuy_wzJ_PfZ
2016;1,16;1,35;1,04;;;;sJuy_wzJ_PfZ
2017;1,18;1,66;1,07;;;;sJuy_wzJ_PfZ
2018;1,21;2,42;1,09;;;2,42;sJuy_wzJ_PfZ
2019;1,21;;1,09;1,21;1,09;1,42;sJuy_wzJ_PfZ
2020;;;;;1,18;1,42;sJuy_wzJ_PfZ
2021;;;;;1,26;1,43;sJuy_wzJ_PfZ
2022;;;;1,24;1,33;1,43;sJuy_wzJ_PfZ
2023;;;;;1,40;1,43;sJuy_wzJ_PfZ
2024;;;;;1,47;1,43;sJuy_wzJ_PfZ
2025;;;;;1,53;1,40;sJuy_wzJ_PfZ
2026;;;;1,27;1,59;1,38;sJuy_wzJ_PfZ
2015;1,00;1,00;1,00;;;;sv2K_RjU_9F5
2016;1,22;1,19;1,03;;;;sv2K_RjU_9F5
2017;1,23;1,35;1,08;;;;sv2K_RjU_9F5
2018;1,26;1,56;1,10;;;1,56;sv2K_RjU_9F5
2019;1,30;;1,09;1,30;1,09;1,09;sv2K_RjU_9F5
2020;;;;;1,11;0,94;sv2K_RjU_9F5
2021;;;;;1,13;0,81;sv2K_RjU_9F5
2022;;;;1,34;1,15;0,71;sv2K_RjU_9F5
2023;;;;;1,16;0,61;sv2K_RjU_9F5
2024;;;;;1,17;0,55;sv2K_RjU_9F5
2025;;;;;1,19;0,50;sv2K_RjU_9F5
2026;;;;1,35;1,20;0,47;sv2K_RjU_9F5
2015;1,00;1,00;1,00;;;;t3NB_gE9_7Pa
2016;1,28;1,17;1,03;;;;t3NB_gE9_7Pa
2017;1,37;1,33;1,04;;;;t3NB_gE9_7Pa
2018;1,39;1,80;1,04;;;1,80;t3NB_gE9_7Pa
2019;1,34;;1,00;1,34;1,00;1,25;t3NB_gE9_7Pa
2020;;;;;1,02;1,26;t3NB_gE9_7Pa
2021;;;;;1,03;1,29;t3NB_gE9_7Pa
2022;;;;1,18;1,05;1,30;t3NB_gE9_7Pa
2023;;;;;1,07;1,34;t3NB_gE9_7Pa
2024;;;;;1,09;1,39;t3NB_gE9_7Pa
2025;;;;;1,12;1,44;t3NB_gE9_7Pa
2026;;;;1,38;1,14;1,53;t3NB_gE9_7Pa
2015;1,00;1,00;1,00;;;;twqK_wzK_3Uy
2016;1,23;1,15;1,02;;;;twqK_wzK_3Uy
2017;1,31;1,02;1,04;;;;twqK_wzK_3Uy
2018;1,34;1,26;1,06;;;1,26;twqK_wzK_3Uy
2019;1,26;;1,04;1,26;1,04;0,69;twqK_wzK_3Uy
2020;;;;;1,04;0,68;twqK_wzK_3Uy
2021;;;;;1,04;0,68;twqK_wzK_3Uy
2022;;;;1,34;1,04;0,69;twqK_wzK_3Uy
2023;;;;;1,05;0,73;twqK_wzK_3Uy
2024;;;;;1,05;0,76;twqK_wzK_3Uy
2025;;;;;1,05;0,79;twqK_wzK_3Uy
2026;;;;1,45;1,06;0,82;twqK_wzK_3Uy
2015;1,00;1,00;1,00;;;;un3t_N9C_3es
2016;1,16;1,29;1,02;;;;un3t_N9C_3es
2017;1,10;1,26;1,04;;;;un3t_N9C_3es
2018;1,07;1,79;1,05;;;1,79;un3t_N9C_3es
2019;1,04;;1,03;1,04;1,03;0,95;un3t_N9C_3es
2020;;;;;1,04;1,00;un3t_N9C_3es
2021;;;;;1,05;1,10;un3t_N9C_3es
2022;;;;1,06;1,06;1,22;un3t_N9C_3es
2023;;;;;1,06;1,31;un3t_N9C_3es
2024;;;;;1,07;1,38;un3t_N9C_3es
2025;;;;;1,08;1,46;un3t_N9C_3es
2026;;;;1,04;1,08;1,53;un3t_N9C_3es
2015;1,00;1,00;1,00;;;;uzsU_QGg_8vm
2016;1,30;1,32;1,02;;;;uzsU_QGg_8vm
2017;1,37;1,29;1,04;;;;uzsU_QGg_8vm
2018;1,35;1,61;1,05;;;1,61;uzsU_QGg_8vm
2019;1,33;;1,04;1,33;1,04;1,00;uzsU_QGg_8vm
2020;;;;;1,05;1,07;uzsU_QGg_8vm
2021;;;;;1,07;1,14;uzsU_QGg_8vm
2022;;;;1,31;1,09;1,20;uzsU_QGg_8vm
2023;;;;;1,10;1,24;uzsU_QGg_8vm
2024;;;;;1,11;1,28;uzsU_QGg_8vm
2025;;;;;1,12;1,34;uzsU_QGg_8vm
2026;;;;1,29;1,14;1,40;uzsU_QGg_8vm
2015;1,00;1,00;1,00;;;;vEzY_KGx_Qrm
2016;1,26;1,15;1,03;;;;vEzY_KGx_Qrm
2017;1,34;1,13;1,06;;;;vEzY_KGx_Qrm
2018;1,41;1,39;1,11;;;1,39;vEzY_KGx_Qrm
2019;1,48;;1,12;1,48;1,12;0,87;vEzY_KGx_Qrm
2020;;;;;1,17;0,93;vEzY_KGx_Qrm
2021;;;;;1,21;0,99;vEzY_KGx_Qrm
2022;;;;1,79;1,25;1,06;vEzY_KGx_Qrm
2023;;;;;1,28;1,13;vEzY_KGx_Qrm
2024;;;;;1,31;1,21;vEzY_KGx_Qrm
2025;;;;;1,34;1,30;vEzY_KGx_Qrm
2026;;;;2,25;1,37;1,39;vEzY_KGx_Qrm
2015;1,00;1,00;1,00;;;;w88C_jP2_5Jq
2016;1,09;1,33;1,02;;;;w88C_jP2_5Jq
2017;1,01;1,22;1,04;;;;w88C_jP2_5Jq
2018;1,16;1,68;1,07;;;1,68;w88C_jP2_5Jq
2019;1,34;;1,09;1,34;1,09;1,23;w88C_jP2_5Jq
2020;;;;;1,11;1,28;w88C_jP2_5Jq
2021;;;;;1,14;1,34;w88C_jP2_5Jq
2022;;;;1,42;1,16;1,45;w88C_jP2_5Jq
2023;;;;;1,18;1,53;w88C_jP2_5Jq
2024;;;;;1,20;1,60;w88C_jP2_5Jq
2025;;;;;1,21;1,69;w88C_jP2_5Jq
2026;;;;1,58;1,23;1,80;w88C_jP2_5Jq
2015;1,00;1,00;1,00;;;;wBPd_WYV_F3H
2016;1,09;1,67;1,03;;;;wBPd_WYV_F3H
2017;1,08;1,79;1,05;;;;wBPd_WYV_F3H
2018;1,08;2,09;1,09;;;2,09;wBPd_WYV_F3H
2019;1,07;;1,10;1,07;1,10;1,55;wBPd_WYV_F3H
2020;;;;;1,13;1,17;wBPd_WYV_F3H
2021;;;;;1,15;0,97;wBPd_WYV_F3H
2022;;;;1,09;1,17;0,83;wBPd_WYV_F3H
2023;;;;;1,19;0,73;wBPd_WYV_F3H
2024;;;;;1,21;0,66;wBPd_WYV_F3H
2025;;;;;1,23;0,62;wBPd_WYV_F3H
2026;;;;1,11;1,25;0,60;wBPd_WYV_F3H
2015;1,00;1,00;1,00;;;;wJi4_2o8_NKn
2016;1,13;1,35;1,02;;;;wJi4_2o8_NKn
2017;1,13;1,08;1,04;;;;wJi4_2o8_NKn
2018;1,16;1,21;1,05;;;1,21;wJi4_2o8_NKn
2019;1,15;;1,02;1,15;1,02;0,85;wJi4_2o8_NKn
2020;;;;;1,03;0,86;wJi4_2o8_NKn
2021;;;;;1,03;0,88;wJi4_2o8_NKn
2022;;;;1,18;1,04;0,89;wJi4_2o8_NKn
2023;;;;;1,05;0,91;wJi4_2o8_NKn
2024;;;;;1,05;0,92;wJi4_2o8_NKn
2025;;;;;1,06;0,95;wJi4_2o8_NKn
2026;;;;1,23;1,07;0,98;wJi4_2o8_NKn
2015;1,00;1,00;1,00;;;;wQjS_6TH_wXD
2016;1,26;1,17;1,00;;;;wQjS_6TH_wXD
2017;1,33;1,20;1,00;;;;wQjS_6TH_wXD
2018;1,39;1,45;0,99;;;1,45;wQjS_6TH_wXD
2019;1,41;;0,95;1,41;0,95;0,89;wQjS_6TH_wXD
2020;;;;;0,97;0,85;wQjS_6TH_wXD
2021;;;;;1,00;0,82;wQjS_6TH_wXD
2022;;;;1,47;1,02;0,80;wQjS_6TH_wXD
2023;;;;;1,05;0,78;wQjS_6TH_wXD
2024;;;;;1,07;0,77;wQjS_6TH_wXD
2025;;;;;1,10;0,78;wQjS_6TH_wXD
2026;;;;1,59;1,12;0,81;wQjS_6TH_wXD
2015;1,00;1,00;1,00;;;;wtUW_ERP_rRf
2016;1,32;1,10;1,02;;;;wtUW_ERP_rRf
2017;1,32;1,10;1,04;;;;wtUW_ERP_rRf
2018;1,37;1,67;1,06;;;1,67;wtUW_ERP_rRf
2019;1,47;;1,06;1,47;1,06;0,93;wtUW_ERP_rRf
2020;;;;;1,08;1,06;wtUW_ERP_rRf
2021;;;;;1,10;1,05;wtUW_ERP_rRf
2022;;;;1,56;1,11;1,12;wtUW_ERP_rRf
2023;;;;;1,12;1,14;wtUW_ERP_rRf
2024;;;;;1,14;1,17;wtUW_ERP_rRf
2025;;;;;1,15;1,26;wtUW_ERP_rRf
2026;;;;1,73;1,16;1,30;wtUW_ERP_rRf
2015;1,00;1,00;1,00;;;;xLVU_ugW_t3L
2016;1,20;1,19;1,02;;;;xLVU_ugW_t3L
2017;1,26;1,21;1,04;;;;xLVU_ugW_t3L
2018;1,35;1,55;1,04;;;1,55;xLVU_ugW_t3L
2019;1,39;;1,00;1,39;1,00;1,00;xLVU_ugW_t3L
2020;;;;;1,01;1,08;xLVU_ugW_t3L
2021;;;;;1,02;1,13;xLVU_ugW_t3L
2022;;;;1,43;1,03;1,19;xLVU_ugW_t3L
2023;;;;;1,05;1,23;xLVU_ugW_t3L
2024;;;;;1,06;1,28;xLVU_ugW_t3L
2025;;;;;1,07;1,33;xLVU_ugW_t3L
2026;;;;1,45;1,09;1,38;xLVU_ugW_t3L
2015;1,00;1,00;1,00;;;;xiWu_j4m_25c
2016;1,23;1,22;1,02;;;;xiWu_j4m_25c
2017;1,30;1,17;1,05;;;;xiWu_j4m_25c
2018;1,32;1,41;1,06;;;1,41;xiWu_j4m_25c
2019;1,30;;1,05;1,30;1,05;0,83;xiWu_j4m_25c
2020;;;;;1,05;0,86;xiWu_j4m_25c
2021;;;;;1,05;0,89;xiWu_j4m_25c
2022;;;;1,37;1,05;0,95;xiWu_j4m_25c
2023;;;;;1,05;1,01;xiWu_j4m_25c
2024;;;;;1,05;1,08;xiWu_j4m_25c
2025;;;;;1,06;1,15;xiWu_j4m_25c
2026;;;;1,49;1,06;1,23;xiWu_j4m_25c
2015;1,00;1,00;1,00;;;;xxEf_E6T_RAk
2016;1,22;1,10;1,02;;;;xxEf_E6T_RAk
2017;1,27;1,03;1,03;;;;xxEf_E6T_RAk
2018;1,32;1,17;1,04;;;1,17;xxEf_E6T_RAk
2019;1,32;;1,02;1,32;1,02;0,74;xxEf_E6T_RAk
2020;;;;;1,05;0,65;xxEf_E6T_RAk
2021;;;;;1,07;0,59;xxEf_E6T_RAk
2022;;;;1,36;1,09;0,57;xxEf_E6T_RAk
2023;;;;;1,11;0,56;xxEf_E6T_RAk
2024;;;;;1,13;0,56;xxEf_E6T_RAk
2025;;;;;1,14;0,57;xxEf_E6T_RAk
2026;;;;1,41;1,16;0,59;xxEf_E6T_RAk
2015;1,00;1,00;1,00;;;;xzCf_Aqu_3db
2016;1,15;1,39;1,00;;;;xzCf_Aqu_3db
2017;1,17;1,39;1,01;;;;xzCf_Aqu_3db
2018;1,28;1,83;1,01;;;1,83;xzCf_Aqu_3db
2019;1,30;;0,98;1,30;0,98;1,06;xzCf_Aqu_3db
2020;;;;;0,98;1,12;xzCf_Aqu_3db
2021;;;;;0,97;1,17;xzCf_Aqu_3db
2022;;;;1,35;0,97;1,21;xzCf_Aqu_3db
2023;;;;;0,97;1,23;xzCf_Aqu_3db
2024;;;;;0,97;1,26;xzCf_Aqu_3db
2025;;;;;0,98;1,30;xzCf_Aqu_3db
2026;;;;1,46;0,98;1,34;xzCf_Aqu_3db
2015;1,00;1,00;1,00;;;;y4zC_umg_FhR
2016;1,24;1,19;1,03;;;;y4zC_umg_FhR
2017;1,33;1,19;1,05;;;;y4zC_umg_FhR
2018;1,44;1,49;1,07;;;1,49;y4zC_umg_FhR
2019;1,44;;1,07;1,44;1,07;0,81;y4zC_umg_FhR
2020;;;;;1,09;0,81;y4zC_umg_FhR
2021;;;;;1,12;0,81;y4zC_umg_FhR
2022;;;;1,49;1,15;0,81;y4zC_umg_FhR
2023;;;;;1,17;0,81;y4zC_umg_FhR
2024;;;;;1,19;0,81;y4zC_umg_FhR
2025;;;;;1,21;0,83;y4zC_umg_FhR
2026;;;;1,55;1,22;0,85;y4zC_umg_FhR
2015;1,00;1,00;1,00;;;;yVrR_KN3_qLU
2016;1,19;1,14;1,02;;;;yVrR_KN3_qLU
2017;1,22;1,17;1,03;;;;yVrR_KN3_qLU
2018;1,26;1,31;1,05;;;1,31;yVrR_KN3_qLU
2019;1,29;;1,04;1,29;1,04;0,91;yVrR_KN3_qLU
2020;;;;;1,04;0,95;yVrR_KN3_qLU
2021;;;;;1,05;1,00;yVrR_KN3_qLU
2022;;;;1,35;1,06;1,04;yVrR_KN3_qLU
2023;;;;;1,07;1,08;yVrR_KN3_qLU
2024;;;;;1,08;1,12;yVrR_KN3_qLU
2025;;;;;1,08;1,16;yVrR_KN3_qLU
2026;;;;1,50;1,09;1,18;yVrR_KN3_qLU
2015;1,00;1,00;1,00;;;;yYzL_HRa_Eo6
2016;1,50;1,52;1,02;;;;yYzL_HRa_Eo6
2017;1,87;1,68;1,03;;;;yYzL_HRa_Eo6
2018;1,88;2,02;1,04;;;2,02;yYzL_HRa_Eo6
2019;1,78;;1,02;1,78;1,02;1,20;yYzL_HRa_Eo6
2020;;;;;1,02;1,18;yYzL_HRa_Eo6
2021;;;;;1,03;1,23;yYzL_HRa_Eo6
2022;;;;1,86;1,03;1,23;yYzL_HRa_Eo6
2023;;;;;1,03;1,25;yYzL_HRa_Eo6
2024;;;;;1,04;1,29;yYzL_HRa_Eo6
2025;;;;;1,04;1,30;yYzL_HRa_Eo6
2026;;;;2,06;1,05;1,32;yYzL_HRa_Eo6
2015;1,00;1,00;1,00;;;;yuSx_f8c_p42
2016;1,14;1,11;1,02;;;;yuSx_f8c_p42
2017;1,23;0,96;1,03;;;;yuSx_f8c_p42
2018;1,21;1,31;1,03;;;1,31;yuSx_f8c_p42
2019;1,06;;1,00;1,06;1,00;0,70;yuSx_f8c_p42
2020;;;;;1,01;0,74;yuSx_f8c_p42
2021;;;;;1,01;0,79;yuSx_f8c_p42
2022;;;;1,08;1,02;0,83;yuSx_f8c_p42
2023;;;;;1,04;0,85;yuSx_f8c_p42
2024;;;;;1,05;0,88;yuSx_f8c_p42
2025;;;;;1,06;0,91;yuSx_f8c_p42
2026;;;;1,06;1,07;0,96;yuSx_f8c_p42
2015;1,00;1,00;1,00;;;;zNU9_YQx_6KD
2016;1,12;1,20;1,02;;;;zNU9_YQx_6KD
2017;1,14;1,13;1,03;;;;zNU9_YQx_6KD
2018;1,17;1,20;1,04;;;1,20;zNU9_YQx_6KD
2019;1,20;;1,02;1,20;1,02;0,87;zNU9_YQx_6KD
2020;;;;;1,03;0,88;zNU9_YQx_6KD
2021;;;;;1,04;0,89;zNU9_YQx_6KD
2022;;;;1,24;1,05;0,90;zNU9_YQx_6KD
2023;;;;;1,06;0,90;zNU9_YQx_6KD
2024;;;;;1,07;0,90;zNU9_YQx_6KD
2025;;;;;1,08;0,94;zNU9_YQx_6KD
2026;;;;1,29;1,09;0,96;zNU9_YQx_6KD
2015;1,00;1,00;1,00;;;;zNkV_jwN_SDm
2016;1,13;1,05;1,01;;;;zNkV_jwN_SDm
2017;1,19;1,11;1,01;;;;zNkV_jwN_SDm
2018;1,22;1,29;1,01;;;1,29;zNkV_jwN_SDm
2019;1,22;;0,99;1,22;0,99;0,89;zNkV_jwN_SDm
2020;;;;;0,99;0,94;zNkV_jwN_SDm
2021;;;;;0,99;0,94;zNkV_jwN_SDm
2022;;;;1,29;0,99;0,95;zNkV_jwN_SDm
2023;;;;;0,99;0,97;zNkV_jwN_SDm
2024;;;;;0,99;0,97;zNkV_jwN_SDm
2025;;;;;0,99;1,00;zNkV_jwN_SDm
2026;;;;1,40;1,00;1,05;zNkV_jwN_SDm
2015;1,00;1,00;1,00;;;;zeH5_DWK_HES
2016;1,19;1,17;1,01;;;;zeH5_DWK_HES
2017;1,20;1,18;1,02;;;;zeH5_DWK_HES
2018;1,15;1,50;1,02;;;1,50;zeH5_DWK_HES
2019;1,19;;0,99;1,19;0,99;0,88;zeH5_DWK_HES
2020;;;;;0,99;0,96;zeH5_DWK_HES
2021;;;;;0,99;1,03;zeH5_DWK_HES
2022;;;;1,21;1,00;1,08;zeH5_DWK_HES
2023;;;;;1,01;1,13;zeH5_DWK_HES
2024;;;;;1,01;1,18;zeH5_DWK_HES
2025;;;;;1,02;1,23;zeH5_DWK_HES
2026;;;;1,19;1,03;1,28;zeH5_DWK_HES
2015;1,00;1,00;1,00;;;;zoEr_iWq_NcK
2016;1,12;1,14;1,03;;;;zoEr_iWq_NcK
2017;1,15;1,23;1,04;;;;zoEr_iWq_NcK
2018;1,23;1,46;1,05;;;1,46;zoEr_iWq_NcK
2019;1,21;;1,02;1,21;1,02;0,85;zoEr_iWq_NcK
2020;;;;;1,05;0,80;zoEr_iWq_NcK
2021;;;;;1,07;0,76;zoEr_iWq_NcK
2022;;;;1,37;1,09;0,74;zoEr_iWq_NcK
2023;;;;;1,11;0,73;zoEr_iWq_NcK
2024;;;;;1,13;0,73;zoEr_iWq_NcK
2025;;;;;1,15;0,76;zoEr_iWq_NcK
2026;;;;1,53;1,17;0,78;zoEr_iWq_NcK